Prop_ID,Name,Location,Num_of_Courts,Accessible,lat,lon,Borough
153,Merriam Playground (lower),"W 168 St., Merriam Ave., Ogden Ave. and University Ave.",2.0,N,40.8388,-73.9266,X
153,Merriam Playground (upper),"W 168 St., Merriam Ave., Ogden Ave. and University Ave.",2.0,N,40.8408,-73.9269,X
182,Millbrook Playground,E 135 St. & Cypress Ave.,2.0,N,40.8042,-73.9162,X
206,Morgan Playground,"E 168 St., Park Ave. and Washington Ave.",2.0,N,40.8325,-73.9074,X
001A,Morton Playground,Morton Pl. & University Ave.,2.0,N,40.8515,-73.9141,X
115,Mott Playground,E 166 St. & Morris Ave.,2.0,N,40.8314,-73.9146,X
257,Mount Hope Playground,E. 177 St. & Walton Ave.,2.0,N,40.8505,-73.9094,X
034,Rev. T. Wendell Foster Park,E 164 St. & River Ave.,2.0,N,40.8317,-73.925,X
168,Nelson Playground,W 166 St. & Nelson Ave.,2.0,N,40.8347,-73.9269,X
123,Noble Playground,Noble & Bronx River Aves.,2.0,N,40.8369,-73.8726,X
039,Orchard Beach,"Bruckner Blvd., Eastchester Bay, Hutchinson River and LI Sound",2.0,N,40.8688,73.7922,X
151,P.O. Hillario Serrano Playground,Olmstead & Castle Hill Aves.,2.0,N,40.8237,-73.8505,X
177,Parker Playground,Castle Hill Ave. & Parker St.,2.0,N,40.8392,-73.853,X
162,Parkside Playground,Arnow Ave. & Olinville Ave.,2.0,N,40.8682,-73.868,X
155,Patterson Playground,Morris & College Aves.,2.0,N,40.816,-73.9216,X
039,Pelham Bay Playground,"Middletown Road, off Bruckner Blvd.",2.0,N,40.8483,-73.8252,X
148H1,Prospect Playground,Clinton Ave. & E 176 St.,2.0,N,40.8432,-73.8906,X
141,PS 21 Playground/Rienzi Playground,E 225 St. & White Plains Rd.,2.0,N,40.8879,-73.8592,X
133,PS 48 Playground/Hunts Point Playground,Faile St. & Hunts Point Ave.,2.0,N,40.8225,-73.819,X
203,Randall Playground,Randall & Castle Hill Aves.,2.0,N,40.8193,-73.8494,X
186,Riverdale Playground,W 237 St. & Independence Ave.,2.0,N,40.8883,-73.9152,X
238,Saw Mill Playground,Brook Avenue and East 140 Street,2.0,N,40.8088,-73.9193,X
158,Sedgwick Playground,Undercliff Ave. & Cross Bronx Expwy.,2.0,N,40.8455,-73.923,X
201,Seton Park,W 235 St. & Douglas Ave.,2.0,N,40.8864,-73.9171,X
085,Slattery Playground,Ryer & Valentine Aves.,2.0,N,40.8574,-73.8988,X
118,Sound View Park,Bronx River & Lafayette Aves.,2.0,Y,40.8143,-73.8655,X
221,Space-Time Playground,Lafayette & Bolton Aves.,2.0,N,40.8225,-73.8598,X
171,Spuyten Duyvil Playground,W 236 St. & Douglas Ave.,2.0,N,40.8871,-73.9156,X
044,St. James Park,E 193 St. & Jerome Ave.,2.0,Y,40.8658,-73.8972,X
045,St. Mary's Playground East,Jackson Ave. & St. Mary's St.,2.0,N,40.8125,-73.9138,X
045,St. Mary's Playground West,Saint Ann's Ave. & E 147 St.,2.0,N,40.8102,-73.9105,X
193,Stars & Stripes Playground,Crawford & Baychester Aves.,2.0,N,40.8857,-73.8396,X
211,Stebbins Playground,E 165 St. & Stebbins Ave.,2.0,N,40.8226,-73.8983,X
204,Story Playground,Theriot & Story Aves.,2.0,N,40.8229,-73.8631,X
172,The Pearly Gates Playground,Tratman & Saint Peter's Aves.,2.0,N,40.8659,-73.8503,X
190,Tiffany Playground,"Fox, Tiffany & E 167 Sts.",2.0,N,40.8249,-73.8944,X
092,Van Cortlandt Park Basketball Court,Broadway between Van Cortlandt Park South and West 242nd Street (next to the stadium),2.0,N,40.8853,-73.891,X
188,Wakefield Playground,Carpenter Ave. & E 239 St.,2.0,N,40.9018,-73.8543,X
002,Waring Playground,Waring Ave. & Bronx Pk E.,2.0,N,40.8602,-73.8715,X
124,Watson Gleason Playground,Watson & Rosedale Aves.,2.0,N,40.8281,-73.8689,X
174,Webster Playground,E 188 St. & Webster Ave.,2.0,N,40.8594,-73.8927,X
104,Williamsbridge Oval,"Van Cortlandt Ave. E, Bainbridge Ave. and Reservoir Oval",2.0,N,40.8768,-73.8776,X
217,Willis Playground,Willis Ave. & E 141 St.,2.0,N,40.8107,-73.9236,X
297,Albemarle Playground,"Albermarle Rd., Dahill Rd. and McDonald Ave.",2.0,N,40.646,-73.9808,B
253,Albert J. Parham Playground,Franklin Ave. between Willoughby and DeKalb Aves.,2.0,N,40.6905,-73.9709,B
253,Albert Lysander Parham Playground,"Adelphi St., Clermont, DeKalb and Willoughby Aves.",2.0,N,40.6905,-73.9709,B
193,Alex Hamilton-Metz Memorial Field,"Albany, East New York and Lefferts Aves.",2.0,N,40.6626,-73.9405,B
329,Alex Lindower Park,Mill & Strickland Aves.,2.0,Y,40.6131,-73.912,B
001,American Playground,"Noble, Franklin & Milton Sts.",2.0,N,40.729,-73.9578,B
287,Andries Playground,Ave. K & Nostrand Ave.,2.0,N,40.623,-73.9464,B
140,Banneker Playground,"Marcy Ave., Kosciusko St. and Lafayette Ave.",2.0,N,40.6903,-73.9494,B
286,Bartlett Playground,Bartlett St. & Throop Ave.,2.0,N,40.7012,-73.946,B
164,Bath Beach Playground,Shore Pkwy. & 17 Ave.,2.0,N,40.6024,-74.0107,B
349,Bath Playground,Bath Ave. between 24 Ave. and Bay 37 St.,2.0,N,40.5946,-73.9936,B
274,Bay View Houses & PS 272,S/JS Seaview Ave. Opposite E 99 St.,2.0,N,40.6348,-73.8871,B
100,Bealin Square & Seth Low Playground,"Ave. P., Bay Pkwy. and W 12 St.",2.0,N,40.6079,-73.9859,B
142,Bedford Playground,"Bedford Ave., S 9 St. and Division Ave.",2.0,N,40.7084,-73.9637,B
283,Belmont Playground,"Pitkin Ave., Drew St., Belmont Ave., and N Conduit Ave.",2.0,N,40.6757,-73.8629,B
277,Benson Playground,Bath Ave. between Bay 22 and Bay 23 Sts.,2.0,N,40.6027,-74.0025,B
007,Bensonhurst Park,"Gravesend Bay, 21 Ave., Cropsey Ave. and Bay Pkwy.",2.0,Y,40.5977,-74.0011,B
353,Bergen Beach Park,"Ave. T, Ave. N, E 71 St. and E 72 St.",2.0,N,40.6226,-73.9095,B
154,Berry Playground,"S 3 St., Berry St. and Bedford Ave.",2.0,N,40.7126,-73.9637,B
008,Betsy Head Memorial Playground,"Livonia Ave., Dumont Ave., Hopkinson Ave., Blake Ave. and Strauss St.",2.0,N,40.6643,-73.9119,B
335,Bildersee Playground,Flatlands Ave. between E 81 and E 82 St.,2.0,N,40.6354,-73.9117,B
223J03,Bridge Park,"E/S Jay St., Prospect St., Sands St. and Charles St.",2.0,N,,,B
169A,Brighton Playground,W/S Brighton 2 Sts. At Boardwalk,2.0,N,40.5751,-73.9657,B
162,Brizzi Playground,42 St. & 10 to New Utrecht Aves.,2.0,N,40.6424,-73.9947,B
012,Brower Park & PS 189,"Brooklyn Ave., St. Mark's Ave., Kingston Ave. and Strauss St.",2.0,N,40.6735,-73.9442,B
270,Brownsville Rec. Center & Playground,Linden Blvd. and Christopher Ave.,2.0,N,40.6568,-73.9014,B
310,Bushwick Playground,"Knickerbocker Ave., Putnam Ave. and Woodbine St.",2.0,N,40.7018,-73.9394,B
018,Canarsie Park,Paedergat Basin and Seaview Ave.,2.0,N,40.6308,-73.8933,B
330,Capt. V. Hickman Park/IS 78,Veterans Ave. between E 66 and E 68 Sts.,2.0,N,40.6204,-73.9135,B
347,Carver Playground,"Ralph Ave., Sumpter St., Howard Ave. and Marion St.",2.0,N,40.6805,-73.9207,B
337,Century Playground,W Brighton Ave. between W 2 and W 3 Sts.,2.0,N,40.577,-73.97,B
362,Chester Playground,"Chester St., Sutter Ave., Bristol St. and Pitkin Ave.",2.0,N,40.6688,-73.9119,B
141,City Line Park,Atlantic & Fountain Aves.,2.0,N,40.6789,-73.8746,B
128,Col. David Marcus Memorial Playground,Ave. P & E 5 Sts.,2.0,N,40.6097,-73.9696,B
021,Commodore Barry Park & Playground,"Park Ave., Navy St., Flushing Ave. and N. Eliot Pl.",2.0,N,40.6978,-73.9791,B
025,Cooper Park,"Sharon St, Olive St., Maspeth Ave. and Morgan Ave.",2.0,N,40.7156,-73.9362,B
103,Cypress Hills Houses Playground,Blake & Euclid Aves.,2.0,N,40.6702,-73.8711,B
232,Dean Playground,"Dean to Bergen Sts., between 6 and Carlton Aves.",2.0,N,40.681,-73.9734,B
215,Decatur Playground,"Decatur and MacDonough Sts., between Sumner and Lewis Aves.",2.0,N,40.6815,-73.9369,B
293,DeKalb Playground/PS 270 Playground,Lafayette & Classon Aves.,2.0,N,40.6892,-73.9609,B
271,Ditmas Playground/Railroad Playground,Ditmas Ave. between E 91 & E 92 Sts.,2.0,N,40.6495,-73.9143,B
056,"Dr. Martin Luther King, Jr. Park","Dumont Ave., Blake Ave., Miller Ave. and Bradford St.",2.0,N,40.6681,-73.8905,B
228,Dr. Richard Greene Playground,Stone & Sutter Aves.,2.0,N,40.6674,-73.9066,B
125,Dreier-Offerman Park,"Gravesend Bay, Bay 44-Bay 49 Sts. and Shore Pkwy.",2.0,N,40.5876,-73.9905,B
028,Dyker Beach Park,"Shore Pkwy., 86 St. and 7 to 14 Aves.",2.0,Y,40.6126,-74.0126,B
282,Patrick O&rsquo;Rourke Park,80 to 81 Sts. and 11 to 12 Aves.,2.0,N,40.6191,-74.0135,B
321,Edmonds Playground,"DeKalb Ave., Adelphi St., and Carlton Ave.",2.0,N,40.6892,-73.9712,B
300,Edward C. Blum Playground/PS 46,Adelphi & Myrtle Aves.,2.0,N,40.6938,-73.9712,B
359,Eleanor Roosevelt Playground,"Lewis Ave., DeKalb Ave., Stuyvesant Ave. and Kosciusko St.",2.0,N,40.6927,-73.9357,B
313,El-Shabazz Playground,"Reid Ave., Malcolm X Blvd. and MacDonough St.",2.0,N,40.6828,-73.9304,B
345,Ethan Allen Park,Cozine Ave. Vermont St. and New Jersey Ave.,2.0,N,40.6555,-73.8871,B
358,Eugenio Maria De Hostos Playground,"Harrison Ave., Walton to Lorimer Sts. and Throop Ave.",2.0,N,40.7028,-73.9497,B
332,Evergreen Playground,"Evergreen Ave., Decatur St. and Schaefer St.",2.0,N,40.6863,-73.9107,B
334,Fermi Playground,"Troutman St., Central Ave., Starr St. and Wilson Ave.",2.0,N,40.7007,-73.9284,B
325,Fish Playground,Saratoga Ave. between Herkimer and Fulton Sts.,2.0,N,40.6781,-73.9147,B
032,Fort Greene Park,"Myrtle Ave., Cumberland St. and DeKalb Ave.",2.0,N,40.6927,-73.9773,B
248,Fox Memorial Park/PS 251 Playground,"Ave. H, Ave. I and E 54 to E 55 Sts.",2.0,N,40.6324,-73.9236,B
055,Frances Hamburger Sternberg Park,"Montrose Ave., Boerum St., Lorimer St. and Leonard St.",2.0,N,40.7057,-73.9475,B
340,Garden Playground,"Flushing Ave., Beaver St. and Garden St.",2.0,N,40.7012,-73.9381,B
254,George Wingate HS Playground,SE Corner Brooklyn Ave. & Rutland Rd.,2.0,N,40.6591,-73.9442,B
236,Glenwood Houses Playground,Ralph Ave. & Farragut Rd.,2.0,N,40.6365,-73.9199,B
243,Golconda Playground,E/S Gold St. and Nassau to Concord Sts.,2.0,N,40.6977,-73.9828,B
230,Gowanus Houses Playground,"Hoyt, Wyckoff and Bond Sts.",2.0,N,40.6844,-73.9876,B
078,Grace Playground,"Belmont Ave., Pitkin Ave., Vermont St. and New Jersey St.",2.0,N,40.671,-73.8951,B
042,Gravesend Park,18 Ave. Near 57 St.,2.0,N,40.6235,-73.9848,B
301,Greene Playground/PS 11 Playground,Greene Ave. between Waverly and Washington Aves.,2.0,N,40.6865,-73.9661,B
285,Harry Maze Memorial Park,Ave. D bet. E 56 & E 57 Sts.,2.0,N,40.6433,-73.9231,B
323,Hattie Carthan Playground,"Monroe St., Tompkins Ave., Madison St. and Marcy Ave.",2.0,N,40.6858,-73.9461,B
235,Herman Dolgon Playground,"Ave. V, Nostrand St. and Batchelder St.",2.0,N,40.5982,-73.9406,B
166B,Homecrest Playground,Shore Pkwy. To Williams Ct. and E 12 St.,2.0,N,40.586,-73.957,B
363,Houston Playground,"Powell St., Liberty Ave., Sackman St. and Glenmore Ave.",2.0,N,40.6721,-73.9053,B
260,Howard Houses Playground & Pool,Glenmore & Mother Gaston Blvd.,2.0,N,40.6718,-73.9084,B
163,IS 302 (Sperandeo Brothers),Atlantic Ave. between Elton and Linwood Sts.,2.0,N,40.6763,-73.8844,B
216,Israel Putnam Playground,Sumner Ave. and Madison to Monroe Sts.,2.0,N,40.6865,-73.9399,B
305,J Playground,"Ave. J, Ave. K, 103 St. and 104 Sts.",2.0,N,40.6442,-73.893,B
111,J.J. Byrne Memorial Park/JHS 51,3 to 4 Sts. and 4 to 5 Aves.,2.0,N,40.6728,-73.9842,B
294,Jackie Robinson Park,Chauncey St. E/O Reid Ave.,2.0,N,40.68,-73.9277,B
357,Jackie Robinson Playground,"Sullivan Pl., Franklin Ave. and Montgomery St.",2.0,N,40.6657,-73.9592,B
324,Jacob Joffe Park,Ave. K between E 58 and E 59 Sts.,2.0,N,40.625,-73.9194,B
291,James Marshall Power Playground,Ave. N & Utica Ave.,2.0,N,40.6183,-73.9276,B
246,Jerome Playground,Wortman Ave. & Warwick St.,2.0,N,40.6591,-73.8796,B
269,Jesse Owens Playground,Stuyvesant & Lafayette Aves.,2.0,N,40.6912,-73.9326,B
151,Jessie & Charles Dome Playground,NE Corner 38 St. & Dahill Rd.,2.0,N,40.638,-73.98,B
346,JHS 126 Playground,Manhattan Ave. & Leonard St. (Ericsson Playground),2.0,N,40.7205,-73.9484,B
210I,JHS 136 Playground (Playground Three-Forty),"40 St., 41 St. and 3 Ave.",2.0,N,40.6523,-74.0084,B
210A,John Allen Payne Park,64 to 65 Sts. and 3 Ave.,2.0,N,40.6399,-74.0242,B
237,John Hancock Playground,"Bedford Ave., Hancock St. and Jefferson Ave.",2.0,N,40.6822,-73.9543,B
210W,John J. Carty Park,"Ft. Hamilton, Gowanus Pkwy., and 94 to 101 Sts.",2.0,N,40.6133,-74.0302,B
157,Kelly Playground,N/S Ave. S between BMT and PS 255,2.0,N,40.6042,-73.9564,B
304,Kennedy King Playground,"Lenox Rd., Clarkson Ave., E 93 St. and E 94 St.",2.0,N,40.6586,-73.9221,B
317,Lafayette Gardens Playground,Lafayette & Franklin Aves.,2.0,N,40.6896,-73.9574,B
106B,Lafayette Playground,Lafayette & E/O Reid Aves.,2.0,N,40.5946,-73.9854,B
167A,LaGuardia Playground,Havemeyer to Roebling Sts. and S 4 to S 5 Sts.,2.0,N,40.71,-73.9593,B
052,Leif Ericson Park & Square,66-67 Sts. and 8 to 9 Aves.,2.0,N,40.636,-74.0205,B
129,Leon S. Kaiser Playground,Coney Island Creek and W 24 St.,2.0,Y,40.5784,-73.9962,B
054,Lincoln Terrace,Rochester Ave. and President St.,2.0,N,40.6657,-73.9268,B
214,Linden Playground/JHS 166,"Linden Blvd., Stanley Ave. and Vermont to Wyona Sts.",2.0,N,40.659,-73.8869,B
149B,Linwood Playground,"Linwood St., New Lots Ave. and Hegeman Aves.",2.0,N,40.6659,-73.8802,B
107,Lion's Pride Playground,"Riverdale, Van Sinderen, Livonia and Snediker Aves.",2.0,N,40.6626,-73.8997,B
309,Louis H. Pink Houses Playground,Stanley Ave. & Eldert Lane,2.0,N,40.6663,-73.863,B
099,Lt. Petrosino Playground,New Utrecht to 16 Aves. and 70 to 71 Sts.,2.0,N,40.6189,-73.9985,B
296,Luna Park Houses Playground,Surf Ave. and W 8 St. to W 12 St.,2.0,N,40.5758,-73.978,B
251,Manhattan Beach Park,Oriental Blvd. & Ocean Ave.,2.0,N,40.5767,-73.9461,B
284,Marc's & Jason's Playground,"Sterling St., Empire Blvd. and New York Ave.",2.0,N,40.6634,-73.9492,B
016,Maria Hernandez Park,Knickerbocker to Irving Aves. and Starr to Suydam Sts.,2.0,N,40.7035,-73.924,B
057,Marine Park/Jerry Debonis,Gerritsen Ave. & Ave. X,2.0,N,40.5969,-73.9279,B
057,Marine Park/PS 278,Fillmore Ave. & Madison Pl.,2.0,Y,40.608,-73.9378,B
110,Marion-Hopkinson Playground,Hopkinson Ave. & Marion St.,2.0,N,40.6817,-73.9136,B
272,Marlboro Houses Playground,W 11 St. & Ave. W,2.0,N,40.5911,-73.9808,B
098,Martin Luther Playground,"55 to 56 Sts., 2 Ave.",2.0,N,40.6461,-74.0197,B
058,McCarren Park,Bedford Avenue and North 12th Street,2.0,N,40.7213,-73.9495,B
058,McCarren Park,Abate Playground,2.0,N,40.7212,-73.9554,B
061,McLaughlin Park,"Tillary, Jay Sts., Cathedral Pl. and Bridge St.",2.0,N,40.6963,-73.9866,B
197,Mellett Playground,"Ave. V, E 13 St. and E 14 St.",2.0,N,40.597,-73.9571,B
022,Middleton,"Lynch St., Middleton St. and Lee Ave.",2.0,N,40.7008,-73.9552,B
268,Nautilus Playground,"Public Beach, West 29 and West 32 street",2.0,N,40.5717,-73.9968,B
331,Neptune Playground,Neptune Ave. & W 12 St.,2.0,N,40.5781,-73.9808,B
339,Newport Playground,"Newport Ave., Thatford Ave. and Osborne St.",2.0,N,40.661,-73.9072,B
250,Nostrand Playground,Nostrand & Foster Aves.,2.0,N,40.6383,-73.9469,B
144,Ocean Hill Playground,"Bergen St., Rockaway Ave. and Dean St.",2.0,N,40.6743,-73.9119,B
343,Osborn Playground,"Linden Blvd., Osborne St. and Thatford Ave.",2.0,N,40.6559,-73.9059,B
295,Oxport Playground,"Flushing Ave., N Portland Ave. and N Oxford St.",2.0,N,40.6977,-73.9762,B
153,Pacific Playground,W/S Howard Ave. and Pacific to Dean Sts.,2.0,N,40.6757,-73.921,B
218,Paerdegat Park,"Foster Ave., Farragut Rd., E 40 St. and Albany Ave.",2.0,N,40.6386,-73.938,B
068,Parade Ground,"Caton Ave., Coney Island Ave., Parkside Ave. and Parade Pl.",2.0,N,40.6515,-73.9656,B
267,Parkside Playground,"Rogers Ave., Winthrop St. and Parkside Ave.",2.0,N,40.6566,-73.9543,B
150,Paul W. Kolbert Playground,Ave. L and E 17 to E 18 Sts.,2.0,N,40.6198,-73.9581,B
224,Police Officer Reinaldo Salgado Playground,"Monroe to Madison Sts., Patchen Ave. and Ralph Ave.",2.0,N,40.6877,-73.9267,B
210J,PS 1 Playground,"43 St., 47 St. and 3 Ave.",2.0,N,40.6493,-74.0121,B
348,PS 23 Playground,"Tompkins, Willoughby and Vernon Aves.",2.0,N,40.6942,-73.9469,B
306,PS 286 Playground,"Ave. Y, between Brown and Haring Sts.",2.0,N,40.5908,-73.9384,B
124,PS 84/William Sheridan,Wythe Ave. to Berry St. and Grand to S 1 Sts.,2.0,N,40.7153,-73.9644,B
322,Pulaski Playground,Sumner Ave. between Hart and Pulaski Sts.,2.0,N,40.6936,-73.9419,B
265,Rainbow Park,55 and 56 Sts. at 6 Ave.,2.0,N,40.6405,-74.0109,B
059,Ramirez Playground,"White, McKibben and Bogart Sts.",2.0,N,,,B
152,Rappaport Playground,"Ft. Hamilton Pkwy., 10 Ave. and 52 to 53 Sts.",2.0,N,40.6368,-74.0006,B
077,Red Hook Park,"King, Richards, Verona, Dwight, and Pioneer Sts.",2.0,N,40.6772,-74.0091,B
126,Red Hook Recreation Area,"Lorraine, Clinton and Henry Sts.",2.0,N,40.6738,-74.0039,B
360,Remsen Playground,"Remsen Ave., Glenwood Rd., E 92 St. and Bay View Pl.",2.0,N,40.6423,-73.9075,B
223P02,Rodney Park North,"Rodney, S 4 St. and S 5 St.",2.0,N,40.7092,-73.9563,B
223O03,Rodney Park South,"Division Ave., Rodney St. and S 9 St.",2.0,N,,,B
264,Roebling Playground,"Wilson Ave., Lee Ave., Taylor St. and Bedford Ave.",2.0,N,40.7063,-73.9618,B
192,Russell Pederson Playground,S/W Corner 83 St. & Colonial Rd.,2.0,N,40.6261,-74.0361,B
352,Sam Curtis Park,"S/S Foster Ave., E 81 St. and E 82 St.",2.0,N,40.6409,-73.9174,B
106A,Scarangella Park,"Ave. V, Stillwell Ave., Ave. U and W 13 St.",2.0,N,40.5947,-73.9843,B
261,Schenk Playground,"Livonia Ave., Barbey St. and Schenck Ave.",2.0,N,40.6656,-73.8861,B
096,Sgt. William Dougherty Playground,"Anthony St., Vandervoort Ave., and Cherry St.",2.0,N,40.7239,-73.9372,B
239,Sheepshead Playground,Ave. Z and Nostrand Ave. to E. 29 St.,2.0,N,40.5887,-73.9404,B
082,Shore Road Park,79th Street & Shore Road,2.0,N,40.6312,-74.0397,B
137,Sixteen Sycamores Playground,"Schermerhorn St., 3 Ave. and Nevins St.",2.0,N,40.6868,-73.981,B
225,St. Andrew's Playground,"Atlantic Ave., Herkimer St. and Kingston Ave.",2.0,N,40.6784,-73.9418,B
245,St. John's Recreation Center,Bergen St. between Troy and Schenectady Aves.,2.0,N,40.6738,-73.934,B
118A,St. Mary's Playground,Smith St. between Luquer and Nelson Sts.,2.0,N,40.6764,-73.9972,B
131,Stephen A. Rudd Playground,"Bushwich Ave., Aberdeen and Granite Sts.",2.0,N,40.683,-73.9054,B
298,Stockton Playground,"Park Ave., Floyd St. and E/O Marcy Ave.",2.0,N,40.697,-73.949,B
350,Stroud Playground,"Classon Ave., Sterling Pl. and Park Pl.",2.0,N,40.6749,-73.9618,B
263,Sumner Houses Playground/PS 59,"Sumner, Throop, Park and Myrtle Aves.",2.0,N,40.6976,-73.943,B
087,Sunset Park,41 to 44 Sts. and 5 to 7 Aves.,2.0,N,40.6481,-74.0031,B
315,Surf Playground,"Surf Ave, W 25 and W 27 Sts.",2.0,N,40.5738,-73.9924,B
105,Taaffe Playground,Park to Myrtle Aves. and Taaffe Pl.,2.0,N,40.6953,-73.9607,B
311,Ten Eyck Playground/PS 196 Playground,"Bushwick Ave., Scholes St. and Messerole St.",2.0,N,40.709,-73.939,B
